User_id	Business_id	Review_ratings	Name	Address	City	State	Postal_code	Review_count	Restaurant_ratings	RestaurantsPriceRange2	GoodForMeal_breakfast	GoodForMeal_lunch	GoodForMeal_dinner	GoodForMeal_latenight	Alcohol	Ambience_casual	Ambience_classy	Ambience_romantic	Ambience_trendy	Ambience_upscale	HasTV	BusinessParking_garage	BusinessParking_lot	BusinessParking_street	BusinessParking_valet	WiFi	Category_Fast_Food	Category_Sandwiches	Category_Mexican	Category_American_Traditional	Category_Nightlife	Category_Pizza	Category_Bars	Category_Burgers	Category_Breakfast_Brunch	Category_American_New	User_total_ratings
wIA3P5Qgm4f52x_iM08n6w	MTH-AcNyWfsBa9sXp04HcQ	4.0	Firehouse Subs	3420 E Baseline Rd, Ste 101	Mesa	AZ	85204	82	3.5	1.0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	5
wIA3P5Qgm4f52x_iM08n6w	80gdzmn-E3IaXK7Z6qzC6A	4.0	Costa Vida Fresh Mexican Grill	1744 S Val Vista Dr, Ste 106	Mesa	AZ	85204	161	3.5	1.0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	5
wIA3P5Qgm4f52x_iM08n6w	YbweWBgYj9T3VqMFJcQlOw	4.0	Flaming Kabob	2252 E Baseline Rd	Mesa	AZ	85204	177	4.0	2.0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	5
wIA3P5Qgm4f52x_iM08n6w	DT35ycaAVzbq83vVGRCoIQ	4.0	Cafe Zupas	3420 E Baseline Rd, Ste 107	Mesa	AZ	85204	214	4.0	1.0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	5
wIA3P5Qgm4f52x_iM08n6w	DhRJJ5aUUuBp3XR1JbLeuw	3.0	Sauce Pizza and Wine	3426 E Baseline Rd, Ste 119	Mesa	AZ	85204	151	4.0	2.0	0	1	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	5
wKXgQ-KZsunr_G4Ipo1lqQ	MTH-AcNyWfsBa9sXp04HcQ	4.0	Firehouse Subs	3420 E Baseline Rd, Ste 101	Mesa	AZ	85204	82	3.5	1.0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	2
wKXgQ-KZsunr_G4Ipo1lqQ	DT35ycaAVzbq83vVGRCoIQ	5.0	Cafe Zupas	3420 E Baseline Rd, Ste 107	Mesa	AZ	85204	214	4.0	1.0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	2
COJ1R7oZXqAr_15Z__rodQ	MTH-AcNyWfsBa9sXp04HcQ	2.0	Firehouse Subs	3420 E Baseline Rd, Ste 101	Mesa	AZ	85204	82	3.5	1.0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	2
COJ1R7oZXqAr_15Z__rodQ	S5o2kplwZtc9XWdktq_GcQ	2.0	The Cheesecake Factory	6613 E Southern Ave	Mesa	AZ	85206	200	3.5	2.0	0	1	1	0	2	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	2
FmjVj5PtVyVylliPYDkwlg	MTH-AcNyWfsBa9sXp04HcQ	2.0	Firehouse Subs	3420 E Baseline Rd, Ste 101	Mesa	AZ	85204	82	3.5	1.0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	4
FmjVj5PtVyVylliPYDkwlg	v35sTRP8H8VZ6T9b8jYD6w	5.0	MOD Pizza	1804 S Signal Butte Rd, Suite 105	Mesa	AZ	85209	81	4.5	1.0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	4
FmjVj5PtVyVylliPYDkwlg	v0bL0-frMFrvHz-5OgUczw	3.0	Raising Cane's	1945 S Stapley Dr	Mesa	AZ	85204	180	3.5	1.0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	4
FmjVj5PtVyVylliPYDkwlg	j5vOCZEmyEvZa9QBvoUUcQ	5.0	Capriotti's Sandwich Shop	3510 E Baseline Rd, Ste 101	Mesa	AZ	85204	106	3.5	1.0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	4
