Business_id,top1,top2,top3
-0Sgh0QlUKVsWosCWJzGqQ,52 % of the reviews are talking about the Service,28 % of the reviews are talking about the food quality,"20 % are talking about other attributes like waiting time, price, ambience and cleanliness."
-0WegMt6Cy966qlDKhu6jA,46 % of the reviews are talking about the food quality,32 % of the reviews are talking about the Service,"20 % are talking about other attributes like waiting time, price, ambience and cleanliness."
-4g68Hwm892_KPUuW5g1_Q,42 % of the reviews are talking about the Service,35 % of the reviews are talking about the food quality,"21 % are talking about other attributes like waiting time, price, ambience and cleanliness."
-7HB0UjguXW8csOH9svG4Q,38 % of the reviews are talking about the food quality,38 % of the reviews are talking about the Service,"23 % are talking about other attributes like waiting time, price, ambience and cleanliness."
-GUi0xyzwT9KJPS0v96dRA,"46 % are talking about other attributes like waiting time, price, ambience and cleanliness.",30 % of the reviews are talking about the food quality,23 % of the reviews are talking about the Service
-HfeXGN4O83x8P4rZc-_kQ,100 % of the reviews are talking about the Service,0 % of the reviews are talking about the food quality,"0 % are talking about other attributes like waiting time, price, ambience and cleanliness."
-J-d5x84RuyLNiUzOhO_6A,58 % of the reviews are talking about the food quality,25 % of the reviews are talking about the Service,"16 % are talking about other attributes like waiting time, price, ambience and cleanliness."
-OuTv9a9_MabQjyiZx2Stw,"42 % are talking about other attributes like waiting time, price, ambience and cleanliness.",28 % of the reviews are talking about the food quality,28 % of the reviews are talking about the Service
-WjQWbAIGyJE4vYJYUZjSQ,100 % of the reviews are talking about the Service,0 % of the reviews are talking about the food quality,"0 % are talking about other attributes like waiting time, price, ambience and cleanliness."
-dhuOV5E2-H0K39ez58K9A,"44 % are talking about other attributes like waiting time, price, ambience and cleanliness.",33 % of the reviews are talking about the Service,22 % of the reviews are talking about the food quality
-fbn41vLse9LoEj72x_BTA,60 % of the reviews are talking about the food quality,"40 % are talking about other attributes like waiting time, price, ambience and cleanliness.",0 % of the reviews are talking about the Service
-jKBFjNTbiafSdunQy6dlQ,"52 % are talking about other attributes like waiting time, price, ambience and cleanliness.",28 % of the reviews are talking about the Service,20 % of the reviews are talking about the food quality
-kHQWsdlHfASvHCj59dzGA,"53 % are talking about other attributes like waiting time, price, ambience and cleanliness.",33 % of the reviews are talking about the food quality,13 % of the reviews are talking about the Service
-ktGd4cMY0V91Ihq4VQPJQ,100 % of the reviews are talking about the food quality,0 % of the reviews are talking about the Service,"0 % are talking about other attributes like waiting time, price, ambience and cleanliness."
-mjUxlW8Lyyq0t3GWvD3EA,45 % of the reviews are talking about the Service,27 % of the reviews are talking about the food quality,"27 % are talking about other attributes like waiting time, price, ambience and cleanliness."
-qbYIpY84C9xBWc9g5rl5g,76 % of the reviews are talking about the Service,19 % of the reviews are talking about the food quality,"3 % are talking about other attributes like waiting time, price, ambience and cleanliness."
-rMJrY16eFTQd4I035G1oQ,50 % of the reviews are talking about the Service,"50 % are talking about other attributes like waiting time, price, ambience and cleanliness.",0 % of the reviews are talking about the food quality
-voRkfS42YKYsrJ9DV0FxQ,"69 % are talking about other attributes like waiting time, price, ambience and cleanliness.",23 % of the reviews are talking about the food quality,7 % of the reviews are talking about the Service
